ID,APOYO_ALIMENTOS ,SEXO ,AÑO ACTUAL,AÑO,EDAD,ESTUDIOS ,C.P 
346,1,F,14/07/2022,1956,66,PRIMARIA,96535
353,0,F,14/07/2022,1965,57,SECUNDARIA,96535
367,0,F,14/07/2022,1964,58,SECUNDARIA,96535
369,0,F,14/07/2022,1975,47,PREPARATORIA,96535
370,1,F,14/07/2022,1955,67,PREPARATORIA,96535
377,1,F,14/07/2022,1970,52,PRIMARIA,96535
378,0,F,14/07/2022,1976,46,PREPARATORIA,96535
387,0,F,14/07/2022,1967,55,PREPARATORIA,96535
393,1,F,14/07/2022,1962,60,PRIMARIA,96535
394,1,F,14/07/2022,1946,76,SECUNDARIA ,96535
347,1,F,14/07/2022,1944,78,SECUNDARIA ,96535
348,1,F,14/07/2022,1950,72,SECUNDARIA ,96535
352,1,F,14/07/2022,1962,60,PRIMARIA,96535
355,1,F,14/07/2022,1964,58,PRIMARIA,96535
357,1,F,14/07/2022,1991,31,SIN ESCOLARIDAD,96535
364,0,F,14/07/2022,1999,23,PREPARATORIA,96535
365,0,F,14/07/2022,1984,38,SECUNDARIA,96535
366,0,F,14/07/2022,1975,47,SECUNDARIA,96535
371,1,F,14/07/2022,1970,52,PRIMARIA,96535
372,1,F,14/07/2022,1982,40,SECUNDARIA,96535
374,1,F,14/07/2022,1966,56,SECUNDARIA,96535
383,0,F,14/07/2022,1976,46,SECUNDARIA,96535
384,0,M,14/07/2022,1999,23,PRIMARIA,96535
388,1,F,14/07/2022,1954,68,SECUNDARIA,96535
389,1,F,14/07/2022,1960,62,PREPARATORIA,96535
392,1,F,14/07/2022,1945,77,PRIMARIA,96535
395,0,F,14/07/2022,1983,39,SECUNDARIA,96535
396,1,F,14/07/2022,1972,50,PRIMARIA,96535
1407,1,F,14/07/2022,1968,54,SIN ESCOLARIDAD,96535
399,1,F,14/07/2022,1964,58,SIN ESCOLARIDAD,96535
415,0,M,14/07/2022,1969,53,SECUNDARIA,96535
425,1,F,14/07/2022,1967,55,PRIMARIA,96535
430,0,F,14/07/2022,1971,51,PREPARATORIA,96535
448,1,F,14/07/2022,1947,75,PRIMARIA,96535
450,1,F,14/07/2022,1958,64,SECUNDARIA,96535
458,0,F,14/07/2022,1975,47,SECUNDARIA,96535
461,1,F,14/07/2022,1955,67,PRIMARIA,96535
398,0,F,14/07/2022,1975,47,SECUNDARIA,96535
404,1,F,14/07/2022,1970,52,PRIMARIA,96535
406,1,F,14/07/2022,1946,76,SECUNDARIA,96535
407,1,F,14/07/2022,1950,72,PRIMARIA,96535
410,0,F,14/07/2022,1979,43,PRIMARIA,96535
412,1,F,14/07/2022,1959,63,PRIMARIA,96535
413,1,F,14/07/2022,1968,54,PRIMARIA,96535
417,1,F,14/07/2022,1975,47,PRIMARIA,96535
422,1,F,14/07/2022,1987,35,SIN ESCOLARIDAD,96535
423,0,F,14/07/2022,1983,39,SECUNDARIA,96535
424,0,F,14/07/2022,1961,61,PREPARATORIA,96535
431,1,F,14/07/2022,1957,65,PRIMARIA,96535
432,0,F,14/07/2022,1979,43,PREPARATORIA,96535
443,0,F,14/07/2022,1970,52,PREPARATORIA,96535
445,1,F,14/07/2022,1970,52,SECUNDARIA,96535
449,1,M,14/07/2022,1964,58,SECUNDARIA,96535
455,1,F,14/07/2022,1961,61,SECUNDARIA,96535
456,0,F,14/07/2022,1976,46,PREPARATORIA,96535
470,1,F,14/07/2022,1950,72,SECUNDARIA,96535
651,1,F,14/07/2022,1955,67,PRIMARIA ,96535
499,0,F,14/07/2022,1993,29,PRIMARIA ,96535
520,1,F,14/07/2022,1978,44,PRIMARIA ,96535
463,1,F,14/07/2022,1963,59,SECUNDARIA,96535
464,0,M,14/07/2022,2000,22,PRIMARIA,96535
475,1,F,14/07/2022,1979,43,PRIMARIA,96535
477,1,M,14/07/2022,1969,53,SIN ESCOLARIDAD,96535
481,1,F,14/07/2022,1970,52,SECUNDARIA,96535
488,1,F,14/07/2022,1981,41,PRIMARIA,96535
503,0,F,14/07/2022,1985,37,SECUNDARIA,96535
519,1,F,14/07/2022,1962,60,PRIMARIA,96535
521,0,F,14/07/2022,1976,46,PREPARATORIA,96535
525,1,F,14/07/2022,1962,60,PRIMARIA,96535
532,1,F,14/07/2022,1940,82,PRIMARIA,96535
538,1,F,14/07/2022,1954,68,SIN ESCOLARIDAD,96535
547,0,F,14/07/2022,1962,60,PREPARATORIA ,96535
581,1,F,14/07/2022,1973,49,SECUNDARIA,96535
611,1,F,14/07/2022,1973,49,SECUNDARIA,96535
612,1,F,14/07/2022,1961,61,SECUNDARIA,96535
632,0,F,14/07/2022,1984,38,SECUNDARIA,96535
650,1,F,14/07/2022,1981,41,SECUNDARIA,96535
652,1,F,14/07/2022,1957,65,PRIMARIA,96535
667,0,F,14/07/2022,1993,29,SECUNDARIA,96535
671,1,F,14/07/2022,1961,61,PRIMARA,96535
